Blog	hands	support	ask	customers	questions	doesn	anyone	our	job	hard	way	able	work	know	making	most	often	never	met	m	going	make	even	mean	part	personal	experience	made	times	those	still	ways	china	us	working	hours	per	week	works	question	run	company	write	should	product	too	listen	learn	same	used	itself	great	always	kind	design	small	also	says	huge	front	must	thing	wouldn	really	would	come	then	trying	d	say	such	back	took	twitter	his	others	own	stories	before	long	something	down	today	released	episode	into	apple	keep	only	number	problems	getting	better	fact	many	problem	makes	isn	start	these	comes	might	did	order	code	red	aren	online	feel	security	team	wrote	blog	post	data	using	access	morning	another	book	good	news	won	age	users	least	school	every	why	course	seem	well	seems	didn	things	different	students	probably	less	while	bad	little	bit	rather	go	think	happy	easter	house	late	night	saturday	real	see	plan	asked	america	report	her	she	talking	point	enough	white	friday	friend	reading	sometimes	far	yet	buy	page	written	together	five	women	research	interview	special	until	putting	line	fire	said	war	children	who	them	u	want	impeachment	read	mueller	through	let	its	lives	believe	deep	country	side	trump	full	may	already	administration	need	once	again	example	both	third	level	take	whole	almost	anything	does	days	talk	find	answer	because	he	power	chance	stuff	thought	public	two	end	right	next	service	between	cars	along	worth	very	use	features	car	legal	whatever	driving	old	without	being	turn	happen	step	learning	maybe	few	weeks	update	big	important	reason	off	having	help	much	change	second	doing	set	entire	couple	including	via	com	april	man	since	nbsp	years	view	pay	against	billion	recent	knew	president	three	last	gift	list	any	everything	high	easy	nothing	given	me	appeared	case	co	him	global	weekend	short	friends	recently	share	favorite	sure	built	try	official	cost	six	left	ten	death	however	especially	someone	else	photos	san	art	giving	four	social	media	possible	launch	matter	early	starting	haven	place	best	love	type	ll	put	machine	whether	turned	though	google	app	called	went	live	games	actually	am	posts	past	future	phone	services	show	release	source	were	idea	website	top	tech	site	later	similar	across	technology	link	yourself	text	web	group	b	each	goes	process	pick	based	members	current	look	home	thanks	free	around	open	could	create	add	user	where	added	screen	fun	happens	saw	yesterday	name	smart	living	likely	perhaps	search	results	wrong	links	hand	simple	photo	record	game	needed	ago	street	world	thrones	everyone	gets	ready	dead	seven	characters	spend	john	universe	building	lot	happened	space	york	city	law	large	tv	during	image	camera	system	version	available	events	editor	according	facebook	series	sunday	save	c	donald	began	decade	latest	outside	year	ever	season	told	state	network	robert	creating	original	sign	face	away	instead	event	stop	whose	boy	edition	netflix	watch	close	content	visit	leaving	hot	kids	music	play	call	office	started	cover	decided	amp	saying	got	email	college	business	seen	wasn	earth	head	finally	following	e	response	project	heart	human	tools	taking	family	life	light	tell	means	videos	youtube	check	calls	stay	miss	science	inspired	found	needs	give	changed	shows	companies	build	behind	key	platforms	director	information	center	understand	video	looking	helping	please	black	created	became	million	local	person	th	pretty	coachella	provide	amazing	remember	months	internet	rules	continue	quite	worked	dogs	attacks	running	done	follow	become	language	within	review	helped	led	nearly	under	word	reasons	hope	month	water	story	readers	seattle	james	among	notes	amazon	cut	earlier	spent	speaking	wanted	piece	worst	self	sense	felt	failure	writing	article	super	money	terms	writers	tells	explain
Joi Ito's Web	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	2	1	3	0	0	0	1	1	0	1	0	2	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	1	0	2	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	2	0	1	2	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	2	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mashable	0	1	0	0	1	3	0	6	0	0	5	1	2	6	1	6	2	0	0	3	1	1	3	0	1	0	1	2	4	3	5	0	3	0	0	0	1	2	1	1	1	2	0	1	0	2	0	0	3	2	2	3	0	2	0	2	16	0	3	1	0	2	0	0	5	1	1	1	2	0	1	2	2	13	9	0	4	1	4	5	2	4	6	2	15	7	12	1	5	1	0	2	4	0	2	0	2	3	4	4	2	1	3	0	3	0	3	2	1	0	0	0	0	5	0	3	7	0	1	1	2	0	3	0	0	2	0	5	0	0	0	3	0	0	0	2	0	0	0	5	0	2	1	0	5	0	2	5	0	0	4	5	3	50	5	0	1	3	11	7	0	2	1	4	0	1	0	1	1	1	2	1	1	0	3	0	1	0	0	2	0	1	2	4	1	1	8	1	2	6	0	32	0	8	4	7	1	0	0	1	1	0	2	2	2	0	1	1	1	0	1	0	0	1	2	1	0	4	0	1	0	0	3	4	4	0	1	1	2	2	1	1	0	2	2	2	1	1	1	2	3	1	2	0	0	2	1	2	1	0	0	1	2	2	0	3	7	1	0	47	1	2	3	4	3	1	4	1	0	3	2	10	11	0	5	0	8	1	2	1	0	1	0	0	3	5	0	0	3	1	1	0	1	1	2	0	0	6	0	1	2	1	7	3	0	0	2	0	0	1	1	0	2	0	1	1	1	3	1	1	0	0	1	0	5	4	2	4	1	0	0	2	1	3	3	0	1	2	3	2	0	3	1	6	2	3	3	3	1	0	2	1	0	0	4	2	1	2	4	2	0	2	14	0	5	1	2	0	0	1	1	5	1	1	1	3	0	0	0	0	1	3	8	0	3	4	0	4	0	0	2	0	0	5	1	0	0	0	0	8	1	3	4	0	0	1	0	0	1	1	2	40	1	3	0	3	27	4	0	4	3	0	2	0	0	0	1	1	0	4	2	1	0	2	5	3	40	2	4	0	1	3	1	4	6	2	4	5	2	0	1	0	3	2	5	1	13	3	0	1	0	0	0	2	3	0	0	1	1	0	4	0	0	4	2	1	0	1	0	0	5	3	1	0	0	0	1	2	0	2	0	4	2	2	0	10	0	4	1	1	0	4	0	2	1	2	3	6	1	0	2	6	2	0	0	1	1	2	0	1	0	2	1	1	4	0	0	0	0	0	0	0	0	6	2	0	1	2	0	0	2	0	0	1	1	11	0	0	0	0	0	0	0	5	0	2	1	1	2	0	2	1	1	1	0	4	2	1	3	2	1	2	2	2	0	3	0	1	2	35	3	3	2	2	1	2	1	1	0	0	0	0	0	0	0	0	0	0	0
The Viral Garden	0	2	3	19	5	2	3	7	1	0	27	2	17	22	4	23	9	10	3	18	10	20	19	8	7	6	1	8	1	12	14	6	0	16	1	4	2	5	1	0	0	13	9	16	2	6	0	8	16	1	7	13	6	0	0	5	10	0	0	2	3	17	3	10	31	8	23	7	5	6	8	20	10	61	8	9	24	3	11	8	9	2	4	1	0	9	1	3	16	5	0	6	10	5	25	6	4	6	4	25	2	5	13	1	1	2	10	8	2	0	5	7	48	43	0	30	0	0	9	0	17	1	11	7	10	5	1	10	21	3	2	12	3	14	6	3	0	12	5	8	3	3	8	1	14	32	1	0	0	1	3	0	3	22	0	1	2	0	5	2	4	6	5	0	0	4	8	7	1	1	2	7	5	5	0	0	1	0	1	0	1	3	0	13	0	0	16	50	0	34	0	10	0	4	8	11	0	0	0	0	1	0	3	12	2	0	8	3	3	4	6	1	4	7	1	2	1	5	10	1	9	3	38	17	5	2	3	11	0	8	5	7	9	5	2	0	4	1	23	20	0	0	0	2	3	2	2	21	2	3	0	2	4	26	4	2	12	4	10	5	2	10	6	3	3	13	0	1	6	1	8	22	12	1	3	14	6	5	3	0	0	4	8	0	3	12	0	12	8	0	1	2	2	2	57	0	8	0	3	0	2	1	12	6	8	2	11	0	4	1	2	0	10	2	0	1	1	14	8	0	3	0	4	5	135	123	1	0	2	3	0	3	3	7	2	0	17	4	0	1	2	5	0	0	5	7	3	0	11	25	9	2	1	0	2	5	1	0	36	18	3	4	0	12	5	3	0	0	20	3	0	1	4	2	5	2	1	1	0	5	3	2	0	2	6	7	2	8	10	9	4	18	1	1	2	2	2	0	10	2	0	7	0	3	5	4	9	1	2	0	1	1	2	5	0	4	0	10	1	1	1	4	0	2	1	0	4	14	4	6	2	0	0	3	1	5	1	0	0	1	0	12	0	2	14	9	2	1	0	0	9	0	2	1	19	3	0	3	1	4	0	6	1	1	0	3	5	28	2	1	0	0	0	0	6	15	0	3	0	0	6	2	1	0	14	4	6	3	4	10	3	0	12	3	8	0	1	2	23	0	2	4	3	1	7	4	0	2	0	11	5	0	0	7	0	2	3	1	0	10	6	6	0	2	30	5	1	5	0	0	4	3	13	0	10	2	3	1	7	2	0	0	6	9	3	0	1	6	3	7	0	10	1	1	5	0	1	0	3	16	10	0	3	0	2	0	0	1	1	3	2	1	0	2	10	2	0	3	0	0	0	1	0	9	12	0	1	4	4	2	4	5	2	1	3	1	4	0	0
NB Blog Feed	1	1	0	0	0	3	0	6	0	2	1	0	0	2	0	2	0	4	0	0	4	2	2	0	3	0	0	2	15	3	2	0	0	0	2	2	0	2	0	2	0	0	0	3	0	3	0	1	2	0	0	0	0	0	0	1	4	1	0	2	3	1	0	3	3	2	1	2	1	3	1	4	2	2	12	2	1	2	2	1	0	2	5	3	4	6	1	0	3	0	0	0	0	3	2	0	1	3	2	2	1	1	7	3	0	2	0	0	0	1	0	2	0	12	1	0	1	7	2	0	10	14	3	1	2	3	1	1	4	0	0	1	0	4	0	0	0	1	1	4	3	1	0	0	0	3	4	8	7	4	4	1	5	2	0	1	5	22	4	3	2	0	1	7	10	0	0	0	1	2	2	2	1	0	0	1	0	3	5	0	0	1	5	2	2	0	7	2	1	0	11	0	28	0	0	3	0	3	0	2	0	56	1	1	1	3	2	2	3	1	3	0	3	1	2	1	4	0	2	2	1	0	7	9	0	1	1	1	1	5	2	2	3	1	2	0	0	0	5	1	0	0	2	0	0	0	0	5	0	0	0	0	0	2	1	0	2	0	0	0	0	0	2	3	1	1	1	0	0	1	1	1	9	2	0	23	1	0	0	3	0	1	0	19	0	2	2	0	3	0	0	0	1	0	1	1	2	2	2	4	0	1	0	0	0	0	1	2	1	3	0	1	3	1	0	2	0	0	0	0	0	0	1	0	3	25	2	0	1	2	1	1	0	1	0	0	0	3	0	4	3	0	0	0	0	1	2	0	2	2	1	3	0	0	1	7	8	0	2	1	0	2	1	0	2	1	0	1	0	0	0	0	0	0	1	1	0	0	0	1	2	1	0	0	1	2	1	5	0	1	0	1	0	0	1	0	2	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	1	0	3	0	0	1	0	0	0	0	0	0	0	0	1	1	0	11	1	2	0	2	6	0	0	1	0	0	1	2	0	5	3	7	1	1	4	1	0	2	1	2	2	2	1	1	1	3	0	0	0	0	1	3	2	1	0	0	2	3	1	0	2	0	2	0	0	0	2	0	3	3	0	0	2	2	0	2	0	1	1	1	0	0	2	2	1	2	1	0	1	0	2	3	2	0	0	0	0	1	0	2	0	0	0	0	4	0	0	1	1	2	2	0	0	2	4	1	1	0	0	0	0	0	0	0	1	4	0	1	0	0	0	2	0	0	0	1	0	0	1	0	0	3	3	1	0	0	0	0	4	0	0	0	1	1	0	0	2	1	2	0	0	2	0	0	1	0	1	2	0	3	1	3	1	2	0	0	0	2	0	0	2	0	1	0
PaulStamatiou.com - Technology, Design and Photography	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	4	0	0	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	1	1	0	0	1	0	0	0	0	1	0	0	16	0	0	4	2	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	6	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	1	16	0	0	0	0	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	16	0	0	1	0	0	0	0	0	0	3	0	0	16	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0
O'Reilly Radar	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	2	0	1	0	1	0	0	1	2	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	7	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	1	0	2	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
pharyngula	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	1	1	2	0	4	0	0	0	1	0	0	2	0	0	0	0	0	1	0	0	0	0	2	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	3	4	0	0	2	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	1	0	0	6	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	3	1	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	1	0	0	2	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	1	0	0	2	1	0	0	1	2	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Seth Godin's Blog on marketing, tribes and respect	0	0	0	0	0	1	2	2	0	0	1	0	6	0	0	1	0	1	1	1	0	1	1	0	0	0	1	0	0	1	1	0	0	2	0	0	0	0	1	0	1	1	0	0	2	1	0	0	2	0	0	1	1	0	0	0	1	0	0	0	0	0	1	1	1	1	0	0	2	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	1	6	0	0	0	0	1	1	0	0	1	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	4	0	0	0	0	0	0	1	0	0	0	1	1	0	2	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	1	1	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	2	0	0	1	0	0	0	1	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	1	10	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	2	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Slashdot	0	4	0	0	1	0	1	9	0	2	5	0	5	0	1	5	2	0	0	2	0	1	3	0	3	2	2	1	4	4	1	1	0	1	3	1	0	2	0	1	1	2	2	2	0	3	0	1	1	7	0	2	2	1	2	1	15	7	1	0	3	1	0	2	2	1	7	1	2	0	4	3	0	1	9	2	6	1	3	3	2	3	3	6	0	8	0	1	2	1	0	1	2	3	5	4	3	2	2	5	0	0	2	0	3	7	0	4	0	6	4	1	2	2	10	4	0	0	3	1	3	1	2	1	1	2	10	5	1	0	0	2	1	1	2	4	8	1	1	6	2	0	0	2	2	0	0	0	2	0	0	0	3	1	1	2	0	0	4	1	0	2	1	0	1	0	0	0	1	1	0	1	0	2	1	0	6	0	1	0	1	0	0	20	0	4	8	9	0	5	0	17	0	4	0	13	1	0	0	0	0	0	0	2	2	0	4	0	1	5	3	0	1	1	0	1	1	2	0	0	2	0	5	12	0	0	0	0	7	7	1	3	2	3	0	0	1	0	7	13	0	0	0	2	0	2	1	3	1	1	0	4	0	2	0	0	2	1	0	1	2	3	6	3	0	4	1	2	0	4	0	0	2	1	1	0	10	0	1	4	0	2	0	0	4	3	0	0	5	1	2	0	1	0	0	0	0	0	3	1	0	2	0	0	0	0	1	1	2	1	0	4	1	2	0	2	0	0	0	1	0	0	0	2	3	2	1	6	1	1	0	0	0	0	0	3	2	3	2	3	1	1	1	0	3	2	1	2	6	0	0	2	2	0	1	2	1	4	12	1	0	4	0	1	2	3	0	0	0	0	1	3	4	0	2	0	1	0	8	0	0	0	3	0	3	5	7	3	3	0	2	6	3	0	0	0	0	0	2	3	1	0	0	0	1	1	0	1	0	3	0	7	1	1	0	5	0	0	1	2	1	1	0	1	0	2	2	2	0	6	1	8	0	5	0	2	0	0	8	1	2	0	0	3	4	2	0	0	23	0	2	0	0	1	4	2	0	5	0	1	0	2	2	1	0	1	2	3	1	0	0	0	0	1	1	0	0	0	1	1	0	5	0	0	5	0	0	0	0	2	0	2	1	1	0	0	2	1	1	0	0	5	0	3	2	3	0	5	1	1	1	0	1	0	0	0	0	2	1	2	2	1	0	0	0	1	2	1	0	1	1	3	1	6	0	1	0	5	2	0	3	0	2	1	1	0	2	0	0	2	2	1	1	0	2	0	0	0	1	2	1	14	2	0	0	1	2	1	0	0	0	3	0	17	0	0	2	2	0	4	2	1	0	1	3	0	0	2	1	1	0	1	6	0	1	0	0	2	0
ThinkProgress	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	6	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	2	1	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	2	2	0	0	0	2	0	2	0	0	1	0	0	0	1	0	10	0	1	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	1	0	0	3	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	2	0	0	0	0	0	0	0	0	0	2	3	0	0	2	0	0	0	0	1	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
